,Prefer,tweet,hashtags,photos
10187,0,"from previous thread, continue the slides here.  Follow @smarttechschool  #influencer #javascript #nodejs #angularjs #vuejs #competition #reactjs #100DaysOfCode #innovation #digitalskills #technology #entrepreneur #css #php #git #github #php #AI #flutter #devOps #DataScience  https://t.co/cBMIwPl28c","['influencer', 'javascript', 'nodejs', 'angularjs', 'vuejs', 'competition', 'reactjs', '100daysofcode', 'innovation', 'digitalskills', 'technology', 'entrepreneur', 'css', 'php', 'git', 'github', 'php', 'ai', 'flutter', 'devops', 'datascience']","['https://pbs.twimg.com/media/E0am1y1WYAAXOIl.jpg', 'https://pbs.twimg.com/media/E0am2FkX0AQBF78.jpg', 'https://pbs.twimg.com/media/E0am2U_WUAITLq0.jpg', 'https://pbs.twimg.com/media/E0am2j1WEAYZb7q.jpg']"
2514,0,"RT: @DataPlayerIO In order to meet customer expectations, each business model needs the support of data science in this digital age. Here's how intelligent insights are reshaping the retail industry: #DataScience #DataAnalytics #SMEUK #SMESupportHour","['datascience', 'dataanalytics', 'smeuk', 'smesupporthour']",[]
5888,1,Monitoring of an Underwater Drone  https://t.co/69uJKQXVLg #GetMoreInsights #CoolerData #Data #BigData #Science #DataScience #AI #MachineLearning  https://t.co/cvPLxhdvxs,"['getmoreinsights', 'coolerdata', 'data', 'bigdata', 'science', 'datascience', 'ai', 'machinelearning']",['https://pbs.twimg.com/media/E0j0tahUUAEt4XH.jpg']
5510,0,#Elasticsearch announced they're ‘forking’ codebase on Elasticsearch v7.11 resulting in a #cloud offering that is FAR MORE EXPENSIVE and resists all integration #logmanagement #Data #DataScience #dataprivacy #datamanagement -   https://t.co/9EBPeDQbit #DataAnalytics,"['elasticsearch', 'cloud', 'logmanagement', 'data', 'datascience', 'dataprivacy', 'datamanagement', 'dataanalytics']",[]
5752,0,.@rgkerns at the @evaluator_group shares his perspective about #ARTESCA in a product brief. Discover how it can help your #devops efforts &gt; #cloudnative #kubernetes #datamanagement #datascience   https://t.co/fEnB4EOqJk  https://t.co/wePXK3nR2R,"['artesca', 'devops', 'cloudnative', 'kubernetes', 'datamanagement', 'datascience']",['https://pbs.twimg.com/media/E0kGNoeWQAAeA-t.jpg']
11285,0,#DataScience | Introduction and a New Convection about Data Science    https://t.co/0iQgNlPVdz  #artificialintelligence #machinelearning  https://t.co/weBMm4CqGB,"['datascience', 'artificialintelligence', 'machinelearning']",['https://pbs.twimg.com/media/E0XbwZVWQAMCuce.jpg']
3430,0,BioSoft Integrators knows the requisites of clients pursuing new breakthroughs in science. Our LIMS provides complete process traceability so results can be proven.  https://t.co/WEQPYV3mo4  #WeAreBioSoft #LIMS #StayHealthy #HealthCare #DataScience #LifeScience #Genomics,"['wearebiosoft', 'lims', 'stayhealthy', 'healthcare', 'datascience', 'lifescience', 'genomics']",[]
4586,1,"What Exactly Is Artificial Intelligence (Hint It’s All About The Datasets) -  https://t.co/X7JspyQI4I - thanks @RichardEudes #Analytics,#MachineLearning,#ArtificialIntelligence,#DataScience","['analytics', 'machinelearning', 'artificialintelligence', 'datascience']",[]
6538,1,The Day I Learned What #DataScience Is  @floriansemle @Fabriziobustama @jradoff  @ronald_vanloon @jblefevre60 @evankirstel @mvollmer1 @HeinzvHoenen @haroldsinnott @GlenGilmore @chboursin @LouisSerge @JolaBurnett @diioannid @Ym78200 @jblefevre60 @mvollmer1   https://t.co/ceElf5YRIu,['datascience'],[]
2920,1,Streamlit nabs $35M Series B to expand machine learning platform –  https://t.co/C1PtMUNzVK  #MachineLearning,['machinelearning'],[]
